"14jt -- Varhaiskasvatukseen osallistuneet vieraskieliset ja ulkomaalaiset lapset alueen ja iän mukaan, 2021-2024"

"Vuosi";"Alue";"Ikä";"Varhaiskasvatukseen osallistuneet lapset";"Vieraskieliset varhaiskasvatukseen osallistuneet lapset"
"2024";"KOKO MAA";"Yhteensä";233772;32520
"2024";"Akaa";"Yhteensä";552;14
"2024";"Alajärvi";"Yhteensä";371;16
"2024";"Alavieska";"Yhteensä";103;4
"2024";"Alavus";"Yhteensä";466;14
"2024";"Asikkala";"Yhteensä";251;5
"2024";"Askola";"Yhteensä";211;6
"2024";"Aura";"Yhteensä";210;3
"2024";"Enonkoski";"Yhteensä";37;1
"2024";"Enontekiö";"Yhteensä";36;3
"2024";"Espoo";"Yhteensä";16928;4959
"2024";"Eura";"Yhteensä";356;21
"2024";"Eurajoki";"Yhteensä";343;11
"2024";"Evijärvi";"Yhteensä";81;1
"2024";"Forssa";"Yhteensä";529;105
"2024";"Haapajärvi";"Yhteensä";241;7
"2024";"Haapavesi";"Yhteensä";257;12
"2024";"Hailuoto";"Yhteensä";24;0
"2024";"Halsua";"Yhteensä";28;4
"2024";"Hamina";"Yhteensä";614;60
"2024";"Hankasalmi";"Yhteensä";109;1
"2024";"Hanko";"Yhteensä";228;8
"2024";"Harjavalta";"Yhteensä";239;12
"2024";"Hartola";"Yhteensä";53;3
"2024";"Hattula";"Yhteensä";369;6
"2024";"Hausjärvi";"Yhteensä";291;9
"2024";"Heinola";"Yhteensä";425;37
"2024";"Heinävesi";"Yhteensä";44;4
"2024";"Helsinki";"Yhteensä";30870;7313
"2024";"Hirvensalmi";"Yhteensä";48;3
"2024";"Hollola";"Yhteensä";949;44
"2024";"Huittinen";"Yhteensä";338;26
"2024";"Humppila";"Yhteensä";76;2
"2024";"Hyrynsalmi";"Yhteensä";47;0
"2024";"Hyvinkää";"Yhteensä";1898;239
"2024";"Hämeenkyrö";"Yhteensä";440;6
"2024";"Hämeenlinna";"Yhteensä";2700;308
"2024";"Ii";"Yhteensä";479;2
"2024";"Iisalmi";"Yhteensä";751;55
"2024";"Iitti";"Yhteensä";233;2
"2024";"Ikaalinen";"Yhteensä";196;18
"2024";"Ilmajoki";"Yhteensä";724;11
"2024";"Ilomantsi";"Yhteensä";68;4
"2024";"Imatra";"Yhteensä";543;44
"2024";"Inari";"Yhteensä";210;16
"2024";"Inkoo";"Yhteensä";189;8
"2024";"Isojoki";"Yhteensä";44;6
"2024";"Isokyrö";"Yhteensä";121;4
"2024";"Janakkala";"Yhteensä";699;32
"2024";"Joensuu";"Yhteensä";2923;290
"2024";"Jokioinen";"Yhteensä";174;7
"2024";"Joroinen";"Yhteensä";157;15
